url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
generic-womens-georgette-saree-rblack-5-6-mtrs-pid33362,"Generic Women's Georgette Saree(R.Black,5-6 Mtrs)","Women's Georgette Saree(R.Black,5-6 Mtrs)<br>Color: R.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bshsa1yyy612_1,default,323,,"https://live.staticflickr.com/65535/50873865401_0cf1569550_o_d.jpg,https://live.staticflickr.com/65535/50873865296_a6c686617a_o_d.jpg,https://live.staticflickr.com/65535/50873865356_d8e97bdc77_o_d.jpg,https://live.staticflickr.com/65535/50873965677_47e3ac8cf2_o_d.jpg","Generic Women's Georgette Saree(R.Black,5-6 Mtrs)","Women's Georgette Saree(R.Black,5-6 Mtrs)<br>Color: R.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Men's T-Shirts",1,,"Women's Georgette Saree(R.Black,5-6 Mtrs)",293,,,1,"[""IO"",""IN""]",100,0,293,323,,,,,
generic-womens-georgette-saree-rblack-5-6-mtrs-pid33362,"Generic Women's Georgette Saree(R.Black,5-6 Mtrs)","Women's Georgette Saree(R.Black,5-6 Mtrs)<br>Color: R.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bshsa1yyy612_1-r.black-women-georgette,default,323,,,,"Women's Georgette Saree(R.Black,5-6 Mtrs)<br>Color: R.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Men's T-Shirts",1,,,293,,,1,"[""IO"",""IN""]",100,0,293,323,"color,gender,material","R.Black,Women,Georgette",323,25,375.00000000
generic-womens-georgette-saree-yblack-5-6-mtrs-pid33363,"Generic Women's Georgette Saree(Y.Black,5-6 Mtrs)","Women's Georgette Saree(Y.Black,5-6 Mtrs)<br>Color: Y.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bshsa1yyy612_2,default,323,,"https://live.staticflickr.com/65535/50873155743_c53af53dff_o_d.jpg,https://live.staticflickr.com/65535/50873865111_bb4c410535_o_d.jpg,https://live.staticflickr.com/65535/50873965527_b050d24362_o_d.jpg,https://live.staticflickr.com/65535/50873865151_54a9d9c593_o_d.jpg","Generic Women's Georgette Saree(Y.Black,5-6 Mtrs)","Women's Georgette Saree(Y.Black,5-6 Mtrs)<br>Color: Y.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Men's T-Shirts",1,,"Women's Georgette Saree(Y.Black,5-6 Mtrs)",293,,,1,"[""IO"",""IN""]",100,0,293,323,,,,,
generic-womens-georgette-saree-yblack-5-6-mtrs-pid33363,"Generic Women's Georgette Saree(Y.Black,5-6 Mtrs)","Women's Georgette Saree(Y.Black,5-6 Mtrs)<br>Color: Y.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bshsa1yyy612_2-y.black-women-georgette,default,323,,,,"Women's Georgette Saree(Y.Black,5-6 Mtrs)<br>Color: Y.Black, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Men's T-Shirts",1,,,293,,,1,"[""IO"",""IN""]",100,0,293,323,"color,gender,material","Y.Black,Women,Georgette",323,23,375.00000000
generic-womens-georgette-saree-wgreen-5-6-mtrs-pid33364,"Generic Women's Georgette Saree(W.Green,5-6 Mtrs)","Women's Georgette Saree(W.Green,5-6 Mtrs)<br>Color: W.Green, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bshsa1yyy613_1,default,323,,"https://live.staticflickr.com/65535/50873155568_42844e6bc2_o_d.jpg,https://live.staticflickr.com/65535/50873965392_d87dfe9108_o_d.jpg,https://live.staticflickr.com/65535/50873155513_95ef47dd4d_o_d.jpg,https://live.staticflickr.com/65535/50873865041_e51c23b1a6_o_d.jpg","Generic Women's Georgette Saree(W.Green,5-6 Mtrs)","Women's Georgette Saree(W.Green,5-6 Mtrs)<br>Color: W.Green, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Men's T-Shirts",1,,"Women's Georgette Saree(W.Green,5-6 Mtrs)",293,,,1,"[""IO"",""IN""]",100,0,293,323,,,,,
generic-womens-georgette-saree-wgreen-5-6-mtrs-pid33364,"Generic Women's Georgette Saree(W.Green,5-6 Mtrs)","Women's Georgette Saree(W.Green,5-6 Mtrs)<br>Color: W.Green, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bshsa1yyy613_1-w.green-women-georgette,default,323,,,,"Women's Georgette Saree(W.Green,5-6 Mtrs)<br>Color: W.Green, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Men's T-Shirts",1,,,293,,,1,"[""IO"",""IN""]",100,0,293,323,"color,gender,material","W.Green,Women,Georgette",323,24,375.00000000
generic-womens-georgette-saree-wblue-5-6-mtrs-pid33365,"Generic Women's Georgette Saree(W.Blue,5-6 Mtrs)","Women's Georgette Saree(W.Blue,5-6 Mtrs)<br>Color: W.Blue, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bshsa1yyy613_2,default,323,,"https://live.staticflickr.com/65535/50873155438_44e2466def_o_d.jpg,https://live.staticflickr.com/65535/50873864886_735e3672bc_o_d.jpg,https://live.staticflickr.com/65535/50873965327_05cf57bd34_o_d.jpg,https://live.staticflickr.com/65535/50873155453_977fd5f95d_o_d.jpg","Generic Women's Georgette Saree(W.Blue,5-6 Mtrs)","Women's Georgette Saree(W.Blue,5-6 Mtrs)<br>Color: W.Blue, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Men's T-Shirts",1,,"Women's Georgette Saree(W.Blue,5-6 Mtrs)",293,,,1,"[""IO"",""IN""]",100,0,293,323,,,,,
generic-womens-georgette-saree-wblue-5-6-mtrs-pid33365,"Generic Women's Georgette Saree(W.Blue,5-6 Mtrs)","Women's Georgette Saree(W.Blue,5-6 Mtrs)<br>Color: W.Blue, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bshsa1yyy613_2-w.blue-women-georgette,default,323,,,,"Women's Georgette Saree(W.Blue,5-6 Mtrs)<br>Color: W.Blue, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Men's T-Shirts",1,,,293,,,1,"[""IO"",""IN""]",100,0,293,323,"color,gender,material","W.Blue,Women,Georgette",323,25,375.00000000
generic-womens-georgette-saree-wred-5-6-mtrs-pid33366,"Generic Women's Georgette Saree(W.Red,5-6 Mtrs)","Women's Georgette Saree(W.Red,5-6 Mtrs)<br>Color: W.Red, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",sarees,1,bshsa1yyy613_3,default,323,,"https://live.staticflickr.com/65535/50873864866_482284d18b_o_d.jpg,https://live.staticflickr.com/65535/50873155333_2bffc1af42_o_d.jpg,https://live.staticflickr.com/65535/50873864836_09273dd13f_o_d.jpg,https://live.staticflickr.com/65535/50873965262_52c375fa5e_o_d.jpg","Generic Women's Georgette Saree(W.Red,5-6 Mtrs)","Women's Georgette Saree(W.Red,5-6 Mtrs)<br>Color: W.Red, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Men's T-Shirts",1,,"Women's Georgette Saree(W.Red,5-6 Mtrs)",293,,,1,"[""IO"",""IN""]",100,0,293,323,,,,,
generic-womens-georgette-saree-wred-5-6-mtrs-pid33366,"Generic Women's Georgette Saree(W.Red,5-6 Mtrs)","Women's Georgette Saree(W.Red,5-6 Mtrs)<br>Color: W.Red, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bshsa1yyy613_3-w.red-women-georgette,default,323,,,,"Women's Georgette Saree(W.Red,5-6 Mtrs)<br>Color: W.Red, <br>Size: 5-6 Mtrs,<br>Material: Georgette,<br>Style: Renial<br>Occassion: Casual, Festive Wear, <br>Gender :Women<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Men's T-Shirts",1,,,293,,,1,"[""IO"",""IN""]",100,0,293,323,"color,gender,material","W.Red,Women,Georgette",323,23,375.00000000
