url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
wekart-multicolor-jesus-night-lamp-screwless-pid33546,"Wekart Multicolor Jesus Night Lamp (Screwless)","Multicolor Jesus Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",night-lamps,1,bsl0yyy03,default,142,,"https://live.staticflickr.com/65535/50904059492_c9fec190b1_o_d.jpg,https://live.staticflickr.com/65535/50904059472_d74ed1cdb4_o_d.jpg","Wekart Multicolor Jesus Night Lamp (Screwless)","Multicolor Jesus Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,1,,,,,configurable,"Night Lamps",1,,"Multicolor Jesus Night Lamp",129,,,1,IN,0,0,129,129,,,,,
wekart-multicolor-jesus-night-lamp-screwless-pid33546,"Wekart Multicolor Jesus Night Lamp (Screwless)","Multicolor Jesus Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",,1,bsl0yyy03-multicolor,default,142,,,,"Multicolor Jesus Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,0,,,,,variant,"Night Lamps",1,,,129,,,1,IN,0,0,,,color,Multicolor,142,100,150
wekart-multicolor-i-love-you-night-lamp-screwless-pid33547,"Wekart Multicolor I Love You Night Lamp (Screwless)","Multicolor I Love You Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",night-lamps,1,bsl0yyy04,default,142,,"https://live.staticflickr.com/65535/50904059922_0e94682275_o_d.jpg,https://live.staticflickr.com/65535/50903938256_e7d60dc979_o_d.jpg","Wekart Multicolor I Love You Night Lamp (Screwless)","Multicolor I Love You Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,1,,,,,configurable,"Night Lamps",1,,"Multicolor I Love You Night Lamp",129,,,1,IN,0,0,129,129,,,,,
wekart-multicolor-i-love-you-night-lamp-screwless-pid33547,"Wekart Multicolor I Love You Night Lamp (Screwless)","Multicolor I Love You Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",,1,bsl0yyy04-multicolor,default,142,,,,"Multicolor I Love You Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,0,,,,,variant,"Night Lamps",1,,,129,,,1,IN,0,0,,,color,Multicolor,142,99,150
wekart-multicolor-god-gautama-buddha-night-lamp-screwless-pid33548,"Wekart Multicolor God Gautama Buddha Night Lamp (Screwless)","Multicolor God Gautama Buddha Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",night-lamps,1,bsl0yyy05,default,142,,"https://live.staticflickr.com/65535/50903235778_3b4ff6d0c0_o_d.jpg,https://live.staticflickr.com/65535/50904059797_915c072a5b_o_d.jpg,https://live.staticflickr.com/65535/50904059852_74d7c66e01_o_d.jpg","Wekart Multicolor God Gautama Buddha Night Lamp (Screwless)","Multicolor God Gautama Buddha Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,1,,,,,configurable,"Night Lamps",1,,"Multicolor God Gautama Buddha Night Lamp",129,,,1,IN,0,0,129,129,,,,,
wekart-multicolor-god-gautama-buddha-night-lamp-screwless-pid33548,"Wekart Multicolor God Gautama Buddha Night Lamp (Screwless)","Multicolor God Gautama Buddha Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",,1,bsl0yyy05-multicolor,default,142,,,,"Multicolor God Gautama Buddha Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,0,,,,,variant,"Night Lamps",1,,,129,,,1,IN,0,0,,,color,Multicolor,142,100,150
wekart-multicolor-muhammad-sallallahu-alaihi-wasallam-in-leaf-night-lamp-screwless-pid33549,"Wekart Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp (Screwless)","Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",night-lamps,1,bsl0yyy06,default,142,,"https://live.staticflickr.com/65535/50903938226_2a78eb47a7_o_d.jpg,https://live.staticflickr.com/65535/50904059697_bfd5aceffd_o_d.jpg,https://live.staticflickr.com/65535/50903235593_e27544ec97_o_d.jpg,https://live.staticflickr.com/65535/50904059747_91fdd5af1a_o_d.jpg,https://live.staticflickr.com/65535/50904059772_833a8f24ff_o_d.jpg","Wekart Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp (Screwless)","Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,1,,,,,configurable,"Night Lamps",1,,"Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp",129,,,1,IN,0,0,129,129,,,,,
wekart-multicolor-muhammad-sallallahu-alaihi-wasallam-in-leaf-night-lamp-screwless-pid33549,"Wekart Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp (Screwless)","Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",,1,bsl0yyy06-multicolor,default,142,,,,"Multicolor Muhammad Sallallahu Alaihi Wasallam In Leaf Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,0,,,,,variant,"Night Lamps",1,,,129,,,1,IN,0,0,,,color,Multicolor,142,99,150
wekart-multicolor-happy-birthday-night-lamp-screwless-pid33550,"Wekart Multicolor Happy Birthday Night Lamp (Screwless)","Multicolor Happy Birthday Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",night-lamps,1,bsl0yyy07,default,142,,"https://live.staticflickr.com/65535/50903938081_23ca554c41_o_d.jpg,https://live.staticflickr.com/65535/50903937886_ea4e625019_o_d.jpg","Wekart Multicolor Happy Birthday Night Lamp (Screwless)","Multicolor Happy Birthday Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,1,,,,,configurable,"Night Lamps",1,,"Multicolor Happy Birthday Night Lamp",129,,,1,IN,0,0,129,129,,,,,
wekart-multicolor-happy-birthday-night-lamp-screwless-pid33550,"Wekart Multicolor Happy Birthday Night Lamp (Screwless)","Multicolor Happy Birthday Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",,1,bsl0yyy07-multicolor,default,142,,,,"Multicolor Happy Birthday Night Lamp<br>Color: Multi Color, <br>Power Source: AC Adapter<br>Extremely cool and 3D illusion, Design is Laser engraved on 4 mm thick Acrylic glass.<br>Ideal for living room, bedroom,birthday gift, bars, shop, coffee shop, hotel etc<br>Low energy consumption.<br> Made of safety material .<br>No foul odors or chemically powder coatings.",0,0,0,,,,,variant,"Night Lamps",1,,,129,,,1,IN,0,0,,,color,Multicolor,142,100,150
