url_key,name,description,categories_slug,status,sku,inventory_sources,price,tax_category_id,images,meta_title,meta_description,new,featured,visible_individually,cost,width,height,depth,type,attribute_family_name,guest_checkout,meta_keywords,short_description,special_price,special_price_from,special_price_to,user_id,country,delivery_charge,barcode,min_price,max_price,super_attributes,super_attribute_option,super_attribute_price,super_attribute_qty,super_attribute_weight
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colornavy-blue-pid37426,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",casual-shirts,1,bsb52tshcyyy11sr0b,default,628,,"https://live.staticflickr.com/65535/51676417488_72330a95bb_o_d.jpg,https://live.staticflickr.com/65535/51670218235_011e498709_o_d.jpg,https://live.staticflickr.com/65535/51668613152_05a5d7acd1_o_d.jpg","Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Wekart Men's Cotton Slim Fit Casual Shirt",523,,,1,"[""IN""]",0,0,523,628,,,,,
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colornavy-blue-pid37426,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11sr0b-l-navy-blue-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","L,Navy blue,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colornavy-blue-pid37426,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11sr0b-m-navy-blue-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","M,Navy blue,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colornavy-blue-pid37426,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11sr0b-xl-navy-blue-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Navy blue)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Navy blue<br>Sleeve Type: Short Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","XL,Navy blue,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorgreen-pid37432,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",casual-shirts,1,bsb52tshcyyy11swog,default,628,,"https://live.staticflickr.com/65535/51676845869_2e6bc019ee_o_d.jpg,https://live.staticflickr.com/65535/51669311006_e73381f85d_o_d.jpg,https://i.imgur.com/rHSeWc3.jpg","Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Wekart Men's Cotton Slim Fit Casual Shirt",523,,,1,"[""IN""]",0,0,523,628,,,,,
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorgreen-pid37432,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11swog-l-green-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","L,Green,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorgreen-pid37432,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11swog-m-green-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","M,Green,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorgreen-pid37432,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11swog-xl-green-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Green)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Green<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","XL,Green,Male",628,24,250
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorpink-pid37434,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Pink)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Pink<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",casual-shirts,1,bsb52tshcyyy11sylp,default,628,,"https://live.staticflickr.com/65535/51675370632_e6f584ef2c_o_d.jpg,https://live.staticflickr.com/65535/51669476476_68f7d9f073_o_d.jpg,https://live.staticflickr.com/65535/51668678127_266ca0fd49_o_d.jpg","Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Pink)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Pink<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,1,,,,,configurable,"Casual Shirt",1,,"Wekart Men's Cotton Slim Fit Casual Shirt",523,,,1,"[""IN""]",0,0,523,628,,,,,
wekart-mens-cotton-slim-fit-casual-shirt-material-cotton-colorpink-pid37434,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Pink)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Pink<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",,1,bsb52tshcyyy11sylp-l-pink-male,default,628,,,"Wekart Men's Cotton Slim Fit Casual Shirt (Material: Cotton, (Color:Pink)","Wekart Men's Cotton Slim Fit Casual Shirt<br>Material: Cotton, <br>(Color:Pink<br>Sleeve Type: Long Sleeves, <br>Type: Solid<br>Occacian: Casual<br>Disclaimer: The color of actual product may vary slightly from the images provided due to photographic lighting conditions and difference in screen resolutions.",0,0,0,,,,,variant,"Casual Shirt",1,,,523,,,1,"[""IN""]",0,0,523,628,"size,color,gender","L,Pink,Male",628,24,250
